"Country","pop_urb","rate_urb"
"Afghanistan","26","3.37"
"Albania","62.1","1.69"
"Algeria","73.7","2.46"
"American Samoa","87.2","0.07"
"Andorra","87.9","-0.31"
"Angola","66.8","4.32"
"Anguilla","100","0.9"
"Antigua and Barbuda","24.4","0.55"
"Argentina","92.1","1.07"
"Armenia","63.3","0.22"
"Aruba","43.7","0.67"
"Australia","86.2","1.43"
"Austria","58.7","0.59"
"Azerbaijan","56.4","1.58"
"Bahamas, The","83.2","1.13"
"Bahrain","89.5","4.38"
"Bangladesh","38.2","3.17"
"Barbados","31.2","0.2"
"Belarus","79.5","0.44"
"Belgium","98.1","0.62"
"Belize","46","2.32"
"Benin","48.4","3.89"
"Bermuda","100","-0.44"
"Bhutan","42.3","2.98"
"Bolivia","70.1","1.97"
"Bosnia and Herzegovina","49","0.55"
"Botswana","70.9","2.87"
"Brazil","87.1","1.05"
"British Virgin Islands","48.5","2.42"
"Brunei","78.3","1.66"
"Bulgaria","75.7","-0.22"
"Burkina Faso","30.6","4.99"
"Burma","31.1","1.74"
"Burundi","13.7","5.68"
"Cabo Verde","66.7","1.97"
"Cambodia","24.2","3.25"
"Cameroon","57.6","3.63"
"Canada","81.6","0.97"
"Cayman Islands","100","1.27"
"Central African Republic","42.2","2.52"
"Chad","23.5","3.88"
"Chile","87.7","0.87"
"China","61.4","2.42"
"Colombia","81.4","1.22"
"Comoros","29.4","2.87"
"Congo, Democratic Republic of the","45.6","4.53"
"Congo, Republic of the","67.8","3.28"
"Cook Islands","75.5","0.37"
"Costa Rica","80.8","1.5"
"Cote d'Ivoire","51.7","3.38"
"Croatia","57.6","-0.08"
"Cuba","77.2","0.14"
"Curacao","89.1","0.62"
"Cyprus","66.8","0.75"
"Czechia","74.1","0.21"
"Denmark","88.1","0.51"
"Djibouti","78.1","1.67"
"Dominica","71.1","0.94"
"Dominican Republic","82.5","2.06"
"Ecuador","64.2","1.66"
"Egypt","42.8","1.86"
"El Salvador","73.4","1.57"
"Equatorial Guinea","73.1","4.28"
"Eritrea","41.3","3.86"
"Estonia","69.2","0.01"
"Eswatini","24.2","2.46"
"Ethiopia","21.7","4.63"
"Falkland Islands (Islas Malvinas)","78.5","0.76"
"Faroe Islands","42.4","0.74"
"Fiji","57.2","1.62"
"Finland","85.5","0.42"
"France","81","0.72"
"French Polynesia","62","1.01"
"Gabon","90.1","2.61"
"Gambia, The","62.6","4.07"
"Gaza Strip","76.7","3"
"Georgia","59.5","0.42"
"Germany","77.5","0.27"
"Ghana","57.3","3.34"
"Gibraltar","100","0.45"
"Greece","79.7","0.22"
"Greenland","87.3","0.42"
"Grenada","36.5","0.76"
"Guam","94.9","0.92"
"Guatemala","51.8","2.68"
"Guernsey","31","0.46"
"Guinea","36.5","3.54"
"Guinea-Bissau","44.2","3.41"
"Guyana","26.8","0.83"
"Haiti","57.1","2.9"
"Holy See (Vatican City)","100","-0.05"
"Honduras","58.4","2.75"
"Hong Kong","100","0.82"
"Hungary","71.9","0.07"
"Iceland","93.9","0.81"
"India","34.9","2.37"
"Indonesia","56.6","2.27"
"Iran","75.9","1.71"
"Iraq","70.9","3.06"
"Ireland","63.7","1.14"
"Isle of Man","52.9","0.89"
"Israel","92.6","1.64"
"Italy","71","0.29"
"Jamaica","56.3","0.82"
"Japan","91.8","-0.14"
"Jersey","31","0.46"
"Jordan","91.4","2.43"
"Kazakhstan","57.7","1.29"
"Kenya","28","4.23"
"Kiribati","55.6","3.19"
"Korea, North","62.4","0.82"
"Korea, South","81.4","0.3"
"Kuwait","100","1.78"
"Kyrgyzstan","36.9","2.03"
"Laos","36.3","3.28"
"Latvia","68.3","-0.93"
"Lebanon","88.9","0.75"
"Lesotho","29","2.83"
"Liberia","52.1","3.41"
"Libya","80.7","1.68"
"Liechtenstein","14.4","0.81"
"Lithuania","68","-0.31"
"Luxembourg","91.5","1.55"
"Macau","100","1.63"
"Madagascar","38.5","4.48"
"Malawi","17.4","4.19"
"Malaysia","77.2","2.13"
"Maldives","40.7","2.93"
"Mali","43.9","4.86"
"Malta","94.7","0.38"
"Marshall Islands","77.8","0.61"
"Mauritania","55.3","4.28"
"Mauritius","40.8","0.11"
"Mexico","80.7","1.59"
"Micronesia, Federated States of","22.9","1.05"
"Moldova","42.8","-0.07"
"Monaco","100","0.51"
"Mongolia","68.7","1.63"
"Montenegro","67.5","0.54"
"Montserrat","9.1","0.64"
"Morocco","63.5","2.14"
"Mozambique","37.1","4.35"
"Namibia","52","4.2"
"Nauru","100","-0.06"
"Nepal","20.6","3.15"
"Netherlands","92.2","0.74"
"New Caledonia","71.5","1.89"
"New Zealand","86.7","1.01"
"Nicaragua","59","1.45"
"Niger","16.6","4.27"
"Nigeria","52","4.23"
"Niue","46.2","1.69"
"North Macedonia","58.5","0.45"
"Northern Mariana Islands","91.8","0.29"
"Norway","83","1.4"
"Oman","86.3","5.25"
"Pakistan","37.2","2.53"
"Palau","81","1.77"
"Panama","68.4","2.06"
"Papua New Guinea","13.3","2.51"
"Paraguay","62.2","1.71"
"Peru","78.3","1.44"
"Philippines","47.4","1.99"
"Pitcairn Islands","0",""
"Poland","60","-0.25"
"Portugal","66.3","0.47"
"Puerto Rico","93.6","-0.14"
"Qatar","99.2","2.41"
"Romania","54.2","-0.38"
"Russia","74.8","0.18"
"Rwanda","17.4","2.86"
"Saint Helena, Ascension, and Tristan da Cunha","40.1","0.73"
"Saint Kitts and Nevis","30.8","0.92"
"Saint Lucia","18.8","0.8"
"Saint Pierre and Miquelon","90","0.36"
"Saint Vincent and the Grenadines","53","1.03"
"Samoa","17.9","-0.47"
"San Marino","97.5","0.67"
"Sao Tome and Principe","74.4","3.33"
"Saudi Arabia","84.3","2.17"
"Senegal","48.1","3.73"
"Serbia","56.4","-0.07"
"Seychelles","57.5","1.26"
"Sierra Leone","42.9","3.12"
"Singapore","100","1.39"
"Sint Maarten","100","1.56"
"Slovakia","53.8","0"
"Slovenia","55.1","0.56"
"Solomon Islands","24.7","3.91"
"Somalia","46.1","4.23"
"South Africa","67.4","1.97"
"South Sudan","20.2","4.1"
"Spain","80.8","0.33"
"Sri Lanka","18.7","0.85"
"Sudan","35.3","3.17"
"Suriname","66.1","0.9"
"Sweden","88","1.05"
"Switzerland","73.9","0.88"
"Syria","55.5","1.43"
"Taiwan","78.9","0.8"
"Tajikistan","27.5","2.62"
"Tanzania","35.2","5.22"
"Thailand","51.4","1.73"
"Timor-Leste","31.3","3.35"
"Togo","42.8","3.76"
"Tokelau","0","0"
"Tonga","23.1","0.71"
"Trinidad and Tobago","53.2","0.22"
"Tunisia","69.6","1.53"
"Turkey","76.1","2.04"
"Turkmenistan","52.5","2.46"
"Turks and Caicos Islands","93.6","1.77"
"Tuvalu","64","2.27"
"Uganda","25","5.7"
"Ukraine","69.6","-0.33"
"United Arab Emirates","87","1.71"
"United Kingdom","83.9","0.89"
"United States","82.7","0.95"
"Uruguay","95.5","0.46"
"Uzbekistan","50.4","1.28"
"Vanuatu","25.5","2.55"
"Venezuela","88.3","1.28"
"Vietnam","37.3","2.98"
"Virgin Islands","95.9","0.1"
"Wallis and Futuna","0","0"
"West Bank","76.7","3"
"Western Sahara","86.8","2.61"
"World","56.2","1.9"
"Yemen","37.9","4.06"
"Zambia","44.6","4.23"
"Zimbabwe","32.2","2.19"
